[header]
width=5
height=1000
tilewidth=40
tileheight=40
orientation=orthogonal

[tilesets]
tileset=../../../../../Tiled/tileMap01.png,40,40,0,0

[layer]
type=Level 666
data=
182,182,182,182,182
0,1,1,1,0,
0,1,1,1,0,
0,21,1,21,0,
161,1,1,1,161,
90,1,6,1,89,
90,1,6,1,89,
90,1,6,1,89,
161,1,1,1,161,
0,1,1,1,0,
0,1,21,1,0,
0,1,1,1,0,
0,1,1,1,0,
0,161,1,161,0,
0,0,1,0,0,
185,185,185,185,185,
45,0,0,0,45,
0,0,2,0,0,
0,547,1,546,0,
0,547,1,546,0,
0,547,21,546,0,
0,547,0,546,0,
0,547,0,546,0,
0,0,0,0,0,
0,0,0,0,0,
162,0,0,0,162,
0,21,2,21,0,
0,27,27,27,0,
0,0,81,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,2,11,2,0,
2,1,1,1,2,
6,1,1,1,6,
6,162,1,162,6,
6,1,2,1,6,
1,1,1,1,1,
0,21,1,21,0,
1,1,1,1,1,
1,1,1,1,1,
7,7,43,7,7,
7,7,7,43,7,
0,27,27,27,0,
181,181,181,181,181,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,2,
0,0,0,7,7,
0,0,1,1,1,
0,7,7,7,0,
1,1,1,0,0,
7,7,0,0,0,
1,102,1,0,0,
7,7,7,7,0,
0,1,1,1,1,
0,0,7,7,7,
0,0,0,21,1,
0,0,0,1,1,
0,165,0,1,21,
165,4,0,0,0,
3,4,0,0,0,
3,4,0,0,0,
3,4,21,2,2,
3,1,1,1,1,
1,1,1,1,1,
27,27,25,0,0,
0,27,27,25,0,
0,0,27,27,25,
1,1,1,1,1,
182,182,182,182,182,
0,142,146,142,0,
0,1,1,1,0,
7,7,7,7,7,
0,0,26,28,28,
0,26,28,28,0,
26,28,28,0,0,
1,1,1,1,1,
1,1,1,1,1,
0,142,146,142,0,
0,7,7,7,0,
0,0,0,0,0,
0,0,0,0,0,
161,0,0,0,161,
0,0,2,0,0,
0,1,1,1,0,
0,1,21,1,0,
0,0,1,1,0,
0,1,1,1,0,
0,3,23,0,0,
0,0,1,67,1,
0,0,0,1,0,
0,0,0,0,0,
0,161,61,161,0,
0,0,6,0,0,
181,181,183,181,181,
0,21,6,21,0,
0,28,28,28,0,
0,0,0,0,0,
25,27,0,27,25,
0,0,0,0,0,
0,2,0,2,0,
0,1,1,1,0,
102,7,7,7,101,
27,27,27,27,27,
0,28,26,28,0,
27,27,263,27,27,
1,161,2,161,1,
1,1,1,1,1,
7,7,7,7,7,
0,28,28,28,0,
0,1,1,1,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
161,0,0,0,2,
0,0,0,1,1,
0,0,8,1,1,
0,8,8,1,141,
8,8,8,141,142,
8,8,141,142,143,
8,1,1,141,142,
1,1,1,1,141,
182,182,182,182,182,
1,9,2,9,1,
162,1,1,1,162,
0,1,0,1,0,
0,0,0,0,0,
0,0,0,0,0,
2,2,0,2,2,
1,21,0,21,1,
1,1,1,1,1,
0,1,1,1,0,
0,21,6,21,0,
0,0,0,0,0,
165,11,0,11,165,
0,0,0,0,0,
0,0,2,6,0,
0,0,1,1,6,
45,0,21,1,6,
0,0,1,1,6,
0,6,6,6,0,
6,1,1,0,0,
6,1,21,0,45,
6,1,1,0,0,
0,6,6,6,0,
0,0,1,1,6,
45,0,21,1,6,
0,0,1,1,6,
0,0,6,6,0,
0,0,0,0,0,
181,181,181,181,181,
0,0,0,0,0,
0,2,2,2,0,
21,1,1,1,21,
1,7,7,7,1,
1,1,42,1,1,
1,42,1,1,1,
9,7,7,7,9,
6,1,1,1,6,
0,6,1,6,0,
0,0,6,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,548,2,548,0,
0,546,0,547,0,
0,546,0,547,0,
161,546,0,547,161,
0,546,0,547,0,
0,546,0,547,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,2,21,2,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
181,181,184,181,181,
104,6,6,6,103,
6,1,1,1,6,
6,6,0,6,6,
0,0,21,0,0,
0,1,61,1,0,
161,13,13,13,161,
0,28,28,88,0,
0,28,28,28,0,
7,7,43,7,7,
7,7,7,43,7,
7,7,7,7,43,
0,27,27,27,0,
0,27,27,27,0,
7,7,44,7,7,
7,44,7,7,7,
44,7,7,7,7,
27,27,27,0,0,
27,27,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
2,0,0,0,2,
1,1,0,1,1,
1,1,1,1,1,
0,21,1,21,0,
181,182,182,182,181,
1,1,1,1,81,
1,1,102,1,1,
1,1,1,1,1,
161,1,1,1,161,
0,21,1,21,0,
0,0,0,0,0,
0,1,61,1,0,
0,1,1,1,0,
0,1,21,1,0,
0,0,1,0,0,
0,1,0,1,0,
0,1,61,1,0,
3,3,3,3,3,
0,27,27,27,0,
0,27,0,27,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,2,0,0,
161,1,1,1,161,
0,1,21,1,0,
0,1,6,1,0,
0,0,6,0,0,
0,1,1,1,0,
0,1,21,1,0,
21,1,1,1,21,
183,182,181,182,183,
6,0,0,0,6,
0,0,0,0,0,
0,0,0,0,0,
0,0,86,0,0,
2,0,0,0,2,
0,0,46,0,0,
0,0,0,0,0,
2,0,0,0,2,
1,2,0,2,1,
1,1,1,1,1,
26,28,26,28,26,
1,1,1,1,1,
7,7,7,43,7,
0,1,1,1,0,
0,163,27,163,0,
0,1,1,1,0,
7,44,7,7,7,
1,1,1,1,1,
26,28,26,28,26,
0,1,1,1,0,
21,1,1,1,21,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,2,2,2,0,
161,21,1,21,161,
181,183,183,183,181,
7,7,141,7,7,
7,7,141,7,7,
7,141,142,141,7,
7,7,141,7,7,
7,7,141,7,7,
21,7,7,7,21,
0,28,28,28,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
2,2,0,0,0,
7,7,21,0,0,
7,7,7,21,0,
0,7,7,7,21,
0,0,101,7,7,
141,0,0,7,7,
142,141,0,7,7,
141,0,0,7,7,
0,0,7,7,7,
0,7,7,7,0,
7,7,7,0,0,
7,7,0,0,141,
7,7,0,141,142,
7,7,0,0,141,
183,183,21,181,181,
7,7,7,21,0,
0,7,7,7,21,
0,0,101,7,7,
0,0,0,7,7,
0,0,7,7,7,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
2,0,0,0,2,
1,21,0,21,1,
1,1,21,1,1,
7,7,7,7,7,
161,1,1,1,161,
7,7,7,7,7,
1,1,1,1,1,
7,7,7,44,7,
1,1,42,1,1,
7,44,7,7,7,
1,1,1,1,1,
1,1,1,1,1,
0,21,1,21,0,
0,0,1,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
2,0,0,0,2,
183,183,183,183,183,
0,1,1,1,0,
0,28,26,28,0,
0,7,7,7,0,
0,25,27,25,0,
0,0,6,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,2,0,0,
0,6,45,6,0,
0,6,1,6,0,
0,0,6,0,0,
2,0,0,0,2,
6,6,21,6,6,
6,0,0,0,6,
0,1,0,1,0,
1,61,0,61,1,
0,1,0,1,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,2,0,0,
0,0,0,0,0,
26,28,0,28,26,
0,0,0,0,0,
2,0,161,0,2,
1,21,6,21,1,
182,182,183,182,182,
1,1,6,89,1,
1,89,6,90,1,
1,90,6,1,1,
1,1,6,1,1,
0,1,6,1,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
2,0,0,0,2,
1,0,0,0,1,
1,21,11,21,1,
1,1,1,1,1,
1,1,81,1,1,
21,1,1,1,21,
1,1,1,1,1,
6,21,2,21,6,
6,1,1,1,6,
6,1,1,1,6,
0,161,1,161,0,
141,1,1,1,141,
141,1,1,1,141,
141,1,1,1,141,
92,1,1,1,91,
0,1,1,1,0,
1,1,21,1,1,
181,183,6,183,181,
0,25,28,25,0,
1,1,1,1,1,
1,6,6,6,1,
1,6,161,6,1,
1,6,0,6,1,
0,11,0,11,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,21,2,2,
0,21,1,1,1,
21,1,1,1,1,
1,1,41,1,1,
1,1,1,161,0,
0,1,1,1,0,
0,0,1,1,0,
0,0,0,0,0,
0,0,0,0,0,
161,0,0,0,161,
0,0,2,0,0,
0,1,1,1,0,
1,1,21,1,1,
1,1,1,1,1,
0,11,1,11,0,
1,1,1,1,1,
0,1,1,1,0,
181,181,0,181,181,
0,0,0,0,0,
0,0,0,0,0,
2,9,0,9,2,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,2,2,2,0,
165,1,1,1,165,
8,1,1,1,8,
8,1,90,1,8,
8,1,1,1,8,
8,1,89,1,8,
8,1,1,1,8,
1,1,1,1,1,
1,141,165,141,1,
1,141,1,141,1,
0,141,1,141,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,2,0,
0,0,1,6,0,
0,1,6,0,0,
1,6,0,0,0,
0,0,0,262,0,
0,0,0,0,0,
0,0,0,46,46,
184,181,181,181,181,
6,0,161,0,2,
0,0,28,28,28,
0,27,0,27,0,
21,0,2,0,1,
68,1,0,0,67,
1,0,0,161,1,
1,0,0,0,21,
0,0,1,0,0,
161,1,61,1,161,
0,1,1,1,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,2,0,0,
0,1,1,1,0,
1,1,41,1,1,
1,6,0,6,1,
0,6,0,6,0,
1,1,9,1,1,
0,6,0,6,0,
1,6,0,6,1,
1,1,42,1,1,
162,1,1,1,162,
6,1,1,1,6,
0,6,1,6,0,
0,0,6,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
181,181,184,181,181,
0,9,1,9,0,
90,1,1,1,89,
90,1,1,1,89,
21,1,1,1,21,
7,7,7,7,7,
1,1,141,1,1,
1,141,142,141,1,
1,1,141,1,1,
161,1,1,1,161,
0,28,28,28,0,
0,28,0,28,0,
0,181,181,181,0,
0,0,0,0,0,
0,0,0,0,0,
0,2,161,2,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,2,0,0,
0,9,1,9,0,
1,1,1,1,1,
1,161,1,161,1,
92,7,7,7,91,
1,1,1,1,1,
1,1,1,1,1,
183,183,183,183,183,
1,89,141,90,1,
1,89,141,90,1,
1,89,141,90,1,
7,7,7,7,7,
0,28,28,28,0,
0,28,28,28,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,11,2,11,0,
0,143,147,143,0,
0,147,147,143,0,
0,143,147,143,0,
0,143,146,143,0,
0,142,146,142,0,
0,142,146,142,0,
0,142,146,142,0,
141,142,146,142,141,
141,142,146,142,141,
0,141,1,141,0,
0,9,1,9,0,
0,0,0,0,0,
0,0,0,0,0,
162,2,0,2,162,
6,1,1,1,6,
0,6,1,6,0,
181,181,183,181,181,
0,21,2,21,0,
27,27,27,27,27,
27,27,0,27,27,
27,0,0,0,27,
6,9,1,9,6,
6,6,9,6,6,
0,6,6,6,0,
0,0,6,0,0,
0,27,27,27,0,
27,27,27,0,0,
27,25,0,0,0,
6,0,0,0,0,
6,6,0,0,161,
21,6,6,0,0,
